#TYPE Selected.System.IO.DirectoryInfo
"Name";"CreationTime";"LastWriteTime"
"James Bond";"23/02/2019 18:53:31";"25/11/2021 20:44:01"
"Jason Bourne 1 - The Bourne Identity (2002)";"23/02/2019 19:27:40";"23/02/2019 19:28:35"
"Jason Bourne 2 - The Bourne Supremacy (2004)";"23/02/2019 19:28:35";"23/02/2019 19:28:35"
"Jason Bourne 3 - The Bourne Ultimatum (2007)";"23/02/2019 19:29:17";"23/02/2019 19:30:07"
"Jason Bourne 4 - The Bourne Legacy (2012)";"23/02/2019 19:30:07";"23/02/2019 19:31:00"
"Jason Bourne 5 (2016)";"09/10/2020 22:56:35";"13/10/2020 01:54:40"
"John Carter (2012)";"28/09/2020 03:16:40";"13/10/2020 01:58:32"
"John Wick 1 (2014)";"06/03/2022 16:29:04";"20/03/2022 11:29:51"
"John Wick Chapter 2 (2017)";"06/03/2022 16:29:12";"20/03/2022 11:30:24"
"John Wick Chapter 3 - Parabellum (2019)";"06/03/2022 16:29:32";"20/03/2022 11:31:05"
"Jolt (2021)";"25/07/2021 22:24:32";"28/07/2021 21:15:45"
"Jumper (2008)";"28/12/2021 22:17:35";"31/12/2021 17:10:47"
"Jungle Cruise (2021)";"07/08/2021 22:54:50";"11/08/2021 10:12:15"
"Jurassic Park 1 (1993)";"23/02/2019 19:31:00";"23/02/2019 19:31:56"
"Jurassic Park 2 (1997)";"23/02/2019 19:31:56";"23/02/2019 19:32:54"
"Jurassic Park 3 (2001)";"23/02/2019 19:32:54";"23/02/2019 19:33:37"
"Jurassic World Dominion (2022)";"20/07/2022 00:16:50";"03/09/2022 14:42:57"
"Justice League (2017)";"27/02/2022 21:09:29";"20/03/2022 11:28:07"
"Kick-Ass (2010)";"07/10/2020 20:46:16";"13/10/2020 01:55:51"
"Kick-Ass 2 (2013)";"07/10/2020 20:48:53";"13/10/2020 01:55:31"
"Killers (2010)";"23/12/2020 22:23:06";"17/01/2021 20:00:51"
"King Arthur (2004)";"01/01/2021 21:37:33";"17/01/2021 19:58:45"
"King Arthur Legend Of The Sword (2017)";"08/12/2020 02:04:57";"22/12/2020 21:50:30"
"King Richard (2021)";"02/01/2022 21:08:10";"02/01/2022 21:15:23"
"Knight and Day (2010)";"29/11/2020 22:43:24";"30/11/2020 14:35:26"
"L'outsider (2016)";"17/03/2023 11:02:19";"17/03/2023 11:02:35"
"La folle histoire de Max et Leon (2016)";"17/03/2023 11:01:46";"17/03/2023 11:02:02"
"Laggies (2014)";"01/12/2020 01:20:06";"22/12/2020 21:52:20"
"Largo Winch 1 (2009)";"14/07/2020 15:03:40";"14/07/2020 21:32:40"
"Largo Winch 2 (2011)";"12/07/2020 22:15:40";"14/07/2020 21:33:46"
"Le Discours (2020)";"17/03/2023 11:02:06";"17/03/2023 11:02:32"
"Le Tout Nouveau Testament (2015)";"06/12/2021 09:46:08";"13/12/2021 17:32:47"
"Leap Year (2010)";"29/11/2020 15:50:20";"22/12/2020 21:56:38"
"Legacy of Lies (2020)";"04/08/2020 22:21:35";"22/03/2022 20:00:09"
"Leon The Professional (1994)";"11/10/2022 00:02:57";"25/10/2022 11:10:45"
"Liberal Arts (2012)";"11/03/2023 13:55:16";"12/03/2023 01:59:23"
"Limitless (2011)";"21/11/2022 17:06:17";"02/12/2022 12:22:45"
"Long Shot (2019)";"28/11/2020 17:01:20";"30/11/2020 14:38:09"
"Looks That Kill (2020)";"19/04/2021 22:44:52";"25/04/2021 21:12:28"
"Looper (2012)";"23/12/2020 22:05:29";"17/01/2021 20:00:51"
"Lord of War (2005)";"19/07/2021 22:34:20";"28/07/2021 21:15:31"
"Love Actually (2003)";"13/01/2023 17:44:03";"19/01/2023 22:25:32"
"Love Addict (2018)";"29/11/2020 12:40:51";"30/11/2020 14:31:51"
"Love and Other Drugs (2010)";"16/09/2022 17:33:13";"19/09/2022 21:58:30"
"Love, Rosie (2014)";"25/11/2020 13:15:26";"30/11/2020 14:33:33"
"Luck (2022)";"08/08/2022 23:24:40";"03/09/2022 14:43:21"
"Lucy (2014)";"11/07/2020 18:55:06";"13/07/2020 07:49:02"
"Margin Call (2011)";"16/02/2022 03:39:26";"27/02/2022 11:06:36"
"MARVEL";"29/06/2020 10:04:20";"19/03/2023 03:17:15"
"Me Before You (2016)";"20/11/2021 15:44:46";"25/11/2021 20:48:00"
"Medieval (2022)";"31/12/2022 16:36:37";"19/01/2023 22:24:35"
